,Date,Tweets
0,2022-02-14 23:42:41+00:00,"In the words of KDANYE our vision is KRYSTAL KLEAR. Our $KDA god blessed us with kadonda #kadena #cryptopunks 

Can we get a UHHHHHHHH drop us a UHHHHHH in our discord sers: https://t.co/NWpJ7erDMH

https://t.co/lfuWI7jSm9"
1,2022-02-14 23:32:29+00:00,"My crypto crazy collection is in @opensea 
This is not a #BoredApe nor a #cryptopunks but this collection will explode your heart 💓

https://t.co/z0L3A9uzwA
 #NFTCommumity #NFT #nfts #NFTGiveaway #nftcollector #nftart #cryptoart #cryptoartist https://t.co/2ZQA2RAosT"
2,2022-02-14 23:22:49+00:00,"Highest-ever #cryptopunks  sale nets $24 million 
https://t.co/a4HGy43xV8 #cryptocurrency #NFT #NFTs #XDOGE"
3,2022-02-14 23:13:04+00:00,"2 NFTs Used as Collateral for $3M Loan on DeFi Platform
https://t.co/CE9hkYCo5l
#CryptoPunks #DeFi #loans #NFTcollector #NFTCommunity #NFTs #P2P"
4,2022-02-14 22:56:55+00:00,Which is your favorite @AdamListerArt Studio Punk?  #nftcollector #nftart #cryptopunks #studiopunks lucky to have both these in my collection… https://t.co/q917HfrcTg
5,2022-02-14 22:37:57+00:00,"(20/24)

@realms_of_ether would become the go-to place to display the most exclusive and elite #NFT projects that have an impact on #crypto and culture, which could host #cryptopunks, @EtherRock , and many others in the future. https://t.co/hA4caWzZnM"
6,2022-02-14 22:37:48+00:00,"(6/24)

Most importantly, Realms of Ether is one of just a handful of #NFT projects from 2017, putting it in an elite club of scarce assets that includes the likes of #cryptopunks, @EtherRock, @CryptoKitties @lunar_token, and many more. https://t.co/PgSQIOWeUi"
7,2022-02-14 22:35:17+00:00,"Happy Valentine’s Day all you Renegade #cryptopunks out there in the #NFTCommunity , let your love blossom and bloom! https://t.co/48YDLqR0Cp"
8,2022-02-14 22:24:29+00:00,"Smoking kills 🥲

#EverydayPunks #CryptoPunks #RoadTo69M #NFT #NFTCommunity #PolygonNFT #ETH #rekt #lol

https://t.co/fr7hPaYMV0 https://t.co/KA0xoHhvHi"
9,2022-02-14 21:25:17+00:00,"Gm/Gn #nftcollectors 👋

Sparkle Punk 835✨
just dropped on the #Ethereum #blockchain ⭐

Collect this 1/1 #NFT now
👉 https://t.co/upzh9SGhdi

#nftcollectibles #nftart #cryptoartist #nfts #nftartist #nftcommunity #cryptoart #eth #openseaNFT #bitcoin  #cryptopunks #crypto https://t.co/005IiiREDr"
10,2022-02-14 21:17:51+00:00,"Punk 5037 bought for 124 ETH ($359,664.48 USD) by 0x64756a from 0xea0829. https://t.co/XLE5jZ6lMb #cryptopunks #ethereum https://t.co/bNKV0jPQll"
11,2022-02-14 21:00:40+00:00,Are there any other punk couples out there? #CryptoPunks https://t.co/QxRz2r6oxz
12,2022-02-14 20:43:07+00:00,"Crypto punks By GC Nft collection
No gas fees floor 0.005 eth @opensea
Link-https://t.co/WqXMNgIezZ
#NFTdrop #NFTProject
#OpenSeaNFT #cryptopunks 
#NFTartist 0.01 ETH #nftcollector https://t.co/twHPjMdkMb"
13,2022-02-14 20:25:40+00:00,From the team that brought you #phallicmonkeys we bring you #pussypunks a revolutionary new line of Nfts that will change the game #NFT #cryptopunks https://t.co/uCb1nZxa9l
14,2022-02-14 19:57:02+00:00,"What drives the price of #CryptoPunks? 

Can you predict it? 👀

The CryptoPunks Data Science Competition is live! 👇

https://t.co/jIe321jA9V https://t.co/2DleS7lUuQ"
15,2022-02-14 19:48:15+00:00,"Shoe Pixel #CRYPTOPUNK Sold for 0.03 ETH

https://t.co/ugS0aTs5nt……
#NFTs
#NFTGiveaway
#NFTCommunity #BoredApeYC #BAYC
#ETH #cryptopunks
#opensea @opensea @rarible #rarible https://t.co/cVSpVvdd9s"
16,2022-02-14 19:26:22+00:00,"Crypto Punks,V1 Serisini Open Sea'dan Kaldırıyor🎨
#OpenSeaNFT #NFT #CryptoPunks
🔗Daha fazlası için:                              https://t.co/lnK9gBwRB9 https://t.co/q5udq61jjO"
17,2022-02-14 19:04:02+00:00,"Screenshot of CryptoPunk #2

Price:0.01 ETH

https://t.co/DCrR8F8Eez

#ETH #opensea #NFTs #nftcollectors #nftart #NFTartist #NFTCommmunity #NFTCollector #cryptopunks https://t.co/Cdd1cR6iEq"
18,2022-02-14 18:51:48+00:00,"Create instant NFTs

https://t.co/a2S72keJwU

#NFT #NFTs #NFTart #NFTartists #digitaldrawing #cryptopunks https://t.co/eOgYaBUJbX"
19,2022-02-14 18:31:26+00:00,"PaintedPunk #563 
Current price ETH on Polygon 0,018
https://t.co/DXLvp4yYRQ
#nft #cryptopunks #paintedpunks #punks #nftcollector #nftart #nfts #digitalart #cryptoart #cryptoartist #nftartist #animation #modernart #nftart https://t.co/5VxgUQ26rX"
20,2022-02-14 18:31:17+00:00,"♡｡ﾟ.(*♡´◡` 人´◡` ♡*)ﾟ♡ °・

ᴊᴏɪɴ SPYC ᴏꜰꜰɪᴄɪᴀʟ ꜰʀᴇᴇ ᴍɪɴᴛ 25 ꜰᴇʙ ✍️

⛵https://t.co/oOszXuoSfo

#NFT #NFTs #SPYC #FreeMint #cryptopunks #BAYC https://t.co/gfeDkxIVnY"
21,2022-02-14 18:16:59+00:00,"LFG!!
$mgh $eth #metaverse #cryptopunks #NFTs https://t.co/MjjtynxkdJ"
22,2022-02-14 18:01:14+00:00,"Sotheby’s will dedicate a single-lot auction to a collection of “CryptoPunks,” a group of NFT avatars designed by Larva Labs.
#Sothebys #NFT #CryptoPunks #ArtWorld #DigitalArt via @artnews https://t.co/yqd3Ov1M0t"
23,2022-02-14 17:59:06+00:00,"#CryptoPunks Ethereum NFT Sells for Nearly $24M, Doubling Previous Record
Chain CEO Deepak Thapliyal tweeted that he used leverage to purchase the NFT, which smashed the previous top Punk sale.
https://t.co/f7dDospANV

#NFT #NFTs #NFTCommunity #NFTnews"
24,2022-02-14 17:47:38+00:00,"I'm posting New NFT, rate it with a like, retweet is welcome. Cryptopunk style will appeal to the connoisseur ❤️🔥🔥🔥🔥🔥🔥
https://t.co/jfvgsY500L  

#NFT #NFTCommunity #NFTartist  #cryptopunks #art https://t.co/YIVzwrOede"
25,2022-02-14 17:41:57+00:00,Hello #mfers! It warms my heart that people are comparing mfers to #bayc &amp; #cryptopunks. @sartoshi_nft brought some fresh air and I’m mfing about it. After yesterday’s hype I told myself that I won’t look on floor price as long as I see this vibrant community #nft #mferfollowmfer
26,2022-02-14 17:29:07+00:00,"✨""Rare Digital Arts Festival #1 Anniversary: @larvalabs"" 
@RtClick_Save spoke to the creators of #CryptoPunks, #Autoglyphs, and #Meebits about the rise of the #PFP phenomenon

Read on 👉 https://t.co/nMjGbZ07cH #NFTs #RareAF https://t.co/IBaf1qOcg6"
27,2022-02-14 16:56:12+00:00,#AI is entering all industries swiftly and #NFT is not an exception. #CryptoPunks and #BAYC are the most known examples of generative art. In this article we made an overview of this fascinating approach to art creation. Read about this new trend here: https://t.co/NiCDS2Sdfe https://t.co/eycXDRMSPJ
28,2022-02-14 16:37:19+00:00,"Gm/Gn #nftcollectors 👋

Sparkle Punk 825✨
just dropped on the #Ethereum #blockchain ⭐

Collect this 1/1 #NFT now
👉 https://t.co/wZeCHHgEOF

#nftcollectibles #nftart #cryptoartist #nfts #nftartist #nftcommunity #cryptoart #eth #openseaNFT #bitcoin  #cryptopunks #crypto https://t.co/dqRuuk1AFS"
29,2022-02-14 16:23:19+00:00,"New bid on Tpunk #8348 for 350 TRX ($22.77)

https://t.co/yOnkMLnile
#tpunks #cryptopunks #tronpunks #TRON #NFT https://t.co/fpZhps739b"
30,2022-02-14 16:21:09+00:00,"As we build up our attribute library, what attributes do you want to see on your Renegade Punk

#cryptopunks #NFTCommunity"
31,2022-02-14 16:20:00+00:00,"Adam Punk a digital painting inspired in the #cryptopunks aesthetic.

Every era has portrayed Adam &amp; Eve and so the #Blockchain era.

Adam is related to Earthly and Body affairs.

#NFT #NFTs #Cryptoart #digitalart #nftcollectors #NFTcollectibles

https://t.co/CDAO9sOPE8"
32,2022-02-14 16:11:07+00:00,"It has an Adam's apple and everything. Now that's what i call detail.
#nft
#nfts
#crypto
#cryptopunks
#AmIRichYet https://t.co/F0a7Jx2z25"
33,2022-02-14 16:08:54+00:00,"Wish you bought into #BAYC #cryptopunks #VeeFriends #Doodles #WorldOfWomen #NFTs below 0.5 #ETH?
You got a serious chance to get into the next big project while its cheap with @CryptoCannaClub. Floor is only 0.3 and tokers are flying off the shelves. #tokertakeover check thread https://t.co/k4b34RQnK7"
34,2022-02-14 16:06:22+00:00,"🗞️ #NFTNews 

CryptoPunk #5822 sells for 8,000 ETH, nearly $24M, doubling previous record 👀 😲

Find out  more 👇

#Cryptopunks #LarvaLabs #CryptoPunksNFT #NFTs #NFTCommunity #NFTCollector #NFTArt #NFTArtist #DigitalArt #NFT #NFTrecord #NFTnews https://t.co/eVu31azUA0"
35,2022-02-14 15:10:54+00:00,"Where holders of all NFTs come together 

Join the tribe 🗿

#BoredApe #cryptopunks #Doodles #CoolCatsNFT #Azuki #0xApes https://t.co/I97JyI7cjR"
36,2022-02-14 14:40:37+00:00,"New bid on Tpunk #6872 for 1K TRX ($65.14)

https://t.co/EeKlTmBlBL
#tpunks #cryptopunks #tronpunks #TRON #NFT https://t.co/4O4jJHNBL5"
37,2022-02-14 14:17:24+00:00,"So apparently the KickDrum app I loved to use in 2007 on my Sidekick phone was created by Larva Labs! It was one of the first things they did. I found a few beats I made.. I should make them nfts. 

#nft #nfts #nftcommunity #cryptopunks #larvalabs .@larvalabs"
38,2022-02-14 13:44:41+00:00,$nich getting interesting 👀 #nounpunks #cryptopunks #NFTCommunity https://t.co/8y1asINkeL
39,2022-02-14 13:29:40+00:00,"WOW, I restored my 3 Artpunks to excellent grade.
Floor price rising to the moon. what an incredible project. @ArtPunksNFT #solana #SolanaNFTs #NFTs #cryptopunks #NFTCommunity #BASC @solana_daily https://t.co/NPZj2BAYse"
40,2022-02-14 13:23:52+00:00,"Neuer #NFT-Rekord im Hause #CryptoPunks: Für 8.000 ETH hat das verpixelte Bild einen neuen Besitzer gefunden.
https://t.co/siZTtmbHNe"
41,2022-02-14 13:20:00+00:00,"Eve Punk lives in the #Blockchain garden of Eden.

#NFT #nftart #nftcollectors #Cryptoart #NFTcollections #NFTCommunity #NFTs #cryptopunks

https://t.co/dDpgfltDtF"
42,2022-02-14 13:16:43+00:00,"cryptopunks  Ethereum NFT Sells for Nearly $24M, Doubling Previous Record.

#nft #cryptopunks #Ethereum 
https://t.co/qpfPh4BEd4"
